city,state,avg_price
Sherborn,Massachusetts,"$1,562,580.00"
Glenville,North Carolina,"$1,560,306.25"
Demarest,New Jersey,"$1,559,152.00"
Head of Harbor,New York,"$1,556,300.00"
Brookline,Massachusetts,"$1,555,943.56"
Wingina,Virginia,"$1,554,875.00"
Lloyd Neck,New York,"$1,554,333.33"
Rome,Maine,"$1,554,000.00"
Madrid Twp,Maine,"$1,550,000.00"
Villages,Missouri,"$1,550,000.00"
Dewees Island,South Carolina,"$1,549,333.33"
De Borgia,Montana,"$1,549,000.00"
Burtchville Township,Michigan,"$1,548,850.00"
Ducktown,Tennessee,"$1,544,999.50"
Wolfeboro,New Hampshire,"$1,544,583.33"
Pensacola Beach,Florida,"$1,544,580.00"
Cass,West Virginia,"$1,543,750.00"
New Hope,Pennsylvania,"$1,542,576.09"
Crawford,Nebraska,"$1,542,500.00"
Boston,Massachusetts,"$1,542,148.09"
Ogunquit,Maine,"$1,539,195.00"
Guilford,Indiana,"$1,537,450.00"
Bloomfield Hills,Michigan,"$1,535,773.87"
North Hampton,New Hampshire,"$1,533,211.11"
Cold Spring Hrbr,New York,"$1,525,000.00"
Randville,Michigan,"$1,520,000.00"
Addison,Maine,"$1,519,500.00"
West Stockbridge,Massachusetts,"$1,518,142.86"
Ghent,Kentucky,"$1,516,667.00"
New Hill,North Carolina,"$1,516,333.33"
Grosse Pointe Shores,Michigan,"$1,514,690.00"
Roslyn,New York,"$1,514,483.41"
Stevenson,Maryland,"$1,512,975.00"
Lakeside,Michigan,"$1,511,829.33"
Franklin,Tennessee,"$1,510,811.94"
Concord,Massachusetts,"$1,502,784.21"
Hermosa,South Dakota,"$1,502,117.86"
Peeksville,Wisconsin,"$1,500,000.00"
Goldston,North Carolina,"$1,500,000.00"
Brookhaven Hamlet,New York,"$1,500,000.00"
Clark,Wyoming,"$1,500,000.00"
Whitewood,South Dakota,"$1,499,900.00"
Dorchester,Texas,"$1,499,000.00"
West Panama City Beach,Florida,"$1,499,000.00"
North Chatham,Massachusetts,"$1,498,980.00"
Armonk,New York,"$1,492,993.33"
Levant,Maine,"$1,484,999.50"
Reed Point,Montana,"$1,484,833.33"
Bradenton Beach,Florida,"$1,484,222.22"
Darnestown,Maryland,"$1,482,969.07"
East Hills,New York,"$1,482,750.00"
Setauket,New York,"$1,482,664.44"
